Comm_ID	Account of relevés	Locations of relevés	Authors	Year of occurances
12		Ficuzza (Sicily, Italy)	Caldarella, 2012 in Cambria 2019	2012
12	49	scattered in lowlands and uplands throughout the Czech republic, with a significant concentration in the alluvium of larger rivers	Chytry et al. 2011	1975/2011
12		North Serbia: alluvial lowlands along the Danube, Sava, Tisa, Tamiš and Begej rivers	Cvijanovic et al. 2018	2018
12		North Serbia: alluvial lowlands along the Danube, Sava, Tisa, Tamiš and Begej rivers	Cvijanovic et al. 2018	2018
12	n.n.	Slovakia: River Ipel	Hrivnak 2002	n.n.
12	n.n.	all of France except high mountains	Julve 	2024
12		Klagenfurt Basin (Austria)	Leute et Müller  in Grabherr et Mucina 1993 	1979
12		Monte Altesina near Enna (Sicily, Italy)	Licitra, 2011 in Cambria 2019	2011
12	n.n	Ponds in Departments Cher,  l'Eure-et-Loir, Indre, Indre-et-Loire, Loir-et-Cher, Loiret (France)    	Pujol et al. 2023	n.n.
12	n.n	in a pond at Chambord (Departement Loir-et-Cher, France) in Sologne	Pujol et al. 2023	n.n.
12		Danube floodplains above and below Vienna (Austria)	Schratt  in Grabherr et Mucina 1993	1988
13		Laghetto Zilio (Sicily, Italy)	Brullo et al., 1994 in Cambria 2019	1994
13		Urio Quattrocchi  (Sicily, Italy)	Brullo et al., 1994 in Cambria 2019	1994
13		Contrada Pantana (Sicily, Italy)	Brullo et al., 1994 in Cambria 2019	1994
13	8	rarely in the floodplains of the lower Dyje and Morava rivers in southern Moravia (Česko)	Chytry et al. 2011	1975/2011
13		North Serbia: alluvial lowlands along the Danube, Sava, Tisa, Tamiš and Begej rivers	Cvijanovic et al. 2018	2018
13		North Serbia: alluvial lowlands along the Danube, Sava, Tisa, Tamiš and Begej rivers	Cvijanovic et al. 2018	2018
13	n.n.	all of France except high mountains	Julve 	2024
13	n.n	Ponds in Departments Cher,  l'Eure-et-Loir, Indre, Indre-et-Loire, Loir-et-Cher, Loiret (France)    	Pujol et al. 2023	n.n.
13	n.n.	Germany: subcontin./suboz. Lowland (Germany)	Schubert, Hilbig, Klotz 1992	n.n.
13	3	Soroksár, Szarvas, in Lake Elensee (Hungary)	Soó 1964	1964
14	5	Natural occurrences are in the lowlands around Ostrava in north-western Moravia (Česko)	Chytry et al. 2011	1975/2011
14		Shallow waters, from the Muntenia Plain,  the floodplain and the Danube Delta, the Western Plain (Timiș – Bega, Criș) (Romania)	Donita et al. 2005	1967-2001
14	5	Upper Rhine Plain (Germany)	Korneck	1959
14	12	Upper Rhine Plain (Germany)	Philippi	1969
14	6	Upper Rhine Plain (Germany)	Philippi	n.n.
14		basins of Dniester and Prut valleys, in lakes and riverbeds and in marshy or regularly flooded areas (Republic Moldova)	Ungureanu et al.	2017
15		North Serbia: alluvial lowlands along the Danube, Sava, Tisa, Tamiš and Begej rivers	Cvijanovic et al. 2018	2018
15		North Serbia: alluvial lowlands along the Danube, Sava, Tisa, Tamiš and Begej rivers	Cvijanovic et al. 2018	2018
15	n.n.	Slovakia: River Ipel	Hrivnak 2002	n.n.
15	n.n.	Germany: submedit., subcont.	Pott 1995	n.n.
15		basins of Dniester and Prut valleys, in lakes and riverbeds and in marshy or regularly flooded areas (Republic Moldova)	Ungureanu et al.	2017
16	24	scattered localities across the Czech Republic, and it is currently more common at mid-altitudes	Chytry et al. 2011	1975/2011
16		Apatinski and Monoštorski rit area (Serbia)	Cvijanovic et al. 2018	2018
16		Apatinski and Monoštorski rit area (Serbia)	Cvijanovic et al. 2018	2018
16		Romania: Blocked channels in the Muntenia Plain (Comana, Mogoșoaia, Căldărușani)	Donita et al. 2005	1968-1994
16	7	Mecklenburg (Germany)	Jeschke	1959
16	n.n.	all of France except high mountains	Julve 	2024
16	1	Brandenburg (Germany)	Panknin	1941
16	4	Brandenburg, Mecklenburg (Germany)	Passarge 1964	1963
16	n.n	Forest ponds and pond margins in Departements Cher, l'Eure-et-Loir (France)	Pujol et al. 2023	n.n.
16	2	Mecklenburg (Germany)	Rabrow	1927
16		Rhine Valley near Lake Constance (Austria)	Scholze  in Grabherr et Mucina 1993	1986
16		Danube floodplains above and below Vienna (Austria)	Schratt  in Grabherr et Mucina 1993	1988
16	2	Brandenburg, Mecklenburg (Germany)	Sukopp	1959
17	26	In the Czech Republic it is most common in lowland and colline areas. (Česko)	Chytry et al. 2011	1975/2011
17	3	Upper Rhine Plain, Upper Swabia, Danube Region (Germany)	Kapp and  Sell	1965
17	3	Upper Rhine Plain, Upper Swabia, Danube Region (Germany)	Müller and  Görs	1960
17	10	Upper Rhine Plain, Upper Swabia, Danube Region (Germany)	Philippi	1969
17	5	Upper Rhine Plain, Upper Swabia, Danube Region (Germany)	Philippi	n.n.
17	1	Upper Rhine Plain, Upper Swabia, Danube Region (Germany)	Th. Müller	1974
17	15	Upper Rhine Plain, Upper Swabia, Danube Region (Germany)	Th. Müller	n.n.
18	23	scattered sites from the lowlands to cool colline areas across the Czech Republic	Chytry et al. 2011	1975/2011
18		Apatinski and Monoštorski rit area (Serbia)	Cvijanovic et al. 2018	2018
18		Apatinski and Monoštorski rit area (Serbia)	Cvijanovic et al. 2018	2018
18	n.n.	Slovakia: River Ipel	Hrivnak 2002	n.n.
18	n.n.	all of France except high mountains	Julve 	2024
18	n.n	small water bodies and ditches in Departements Cher, l'Eure-et-Loir (France)	Pujol et al. 2023	n.n.
18		Danube floodplains above and below Vienna (Austria)	Schratt  in Grabherr et Mucina 1993	1988
18		Pond in the Waldviertel region (Austria)	Schratt in Grabherr et Mucina	1993
19	13	in the floodplain of the lower Dyje river in southern Moravia (Česko)	Chytry et al. 2011	1975/2011
19	1	Brandenburg (Germany)	Hueck	1929
19	1	Brandenburg (Germany)	Hueck	1942
19	n.n.	Départements Pas-de-Calais, Somme, Ardennes (France)	Julve 	2024
19	3	Brandenburg (Germany)	Panknin	1941
19	40	Brandenburg, Mecklenburg (Germany)	Passarge 1964	1959
19		Danube floodplains above and below Vienna (Austria)	Reissek  in Grabherr et Mucina 1993	1860
19	100	from England to Siberia, from southern Sweden to northern France and central Germany. In the Netherland centres in the Kop van Overijssel and Friesland; eastern South Holland to Lower Betuwe and the Langstraat.	Schaminée et al. 2010	2010
19	1	Brandenburg (Germany)	Schlüter	1955
20	n.n.	Départements Pas-de-Calais, Somme, Ardennes (France)	Julve 	2024
20	1	Upper Rhine Plain (Germany)	Oberdorfer	1957
20	2	Upper Rhine Plain (Germany)	Philippi	1969
20	7	Middle- Main area (Germany)	Schober	1960
20		Danube floodplains below Vienna (Austria)	Schratt  in Grabherr et Mucina 1993	1988
20	5	Lowlands, mostly in the north-east of Hungary (Szigetköz, Soroksari, Bacska, at Drava, in Lake Elensee)	Soó 1964	1964
20	5	southeastern Swabian Alp (Germany)	Th. Müller	n.n.
21	40	most frequently in the floodplains of large lowland rivers, such as the lower Vltava, middle Labe, lower Dyje and lower Morava (Česko)	Chytry et al. 2011	1975/2011
21		Romania: Danube Floodplain and Delta, Banat (Lugoj, Timiș – Bega)	Donita et al. 2005	1973-1997
21	n.n.	Danube	Hrivnak 2002	n.n.
21	n.n.	northern part of France, Landes  (France)	Julve 	2024
21	5	Brandenburg (Germany)	Panknin	1941
21	1	Brandenburg (Germany)	Passarge 1964	1963
21	n.n	Pools, ponds, oxbows, ditches and channels in Departments Cher, Indre-et-Loire, Loir-et-Cher, Loiret (France)    	Pujol et al. 2023	n.n.
21	n.n	in a forest pond at Chambord (Departement Loir-et-Cher, France) in the Sologne region	Pujol et al. 2023	n.n.
22	7	rarely in the middle Labe area (Česko)	Chytry et al. 2011	1975/2011
22		North Serbia: alluvial lowlands along the Danube, Sava, Tisa, Tamiš and Begej rivers	Cvijanovic et al. 2018	2018
22		Vlasinsko jezero lake (Serbia)	Cvijanovic et al. 2018	2018
22		Vlasinsko jezero lake (Serbia)	Cvijanovic et al. 2018	2018
22		North Serbia: alluvial lowlands along the Danube, Sava, Tisa, Tamiš and Begej rivers	Cvijanovic et al. 2018	2018
22		Romania: Danube Floodplain and Delta, Banat (Lugoj, Timiș – Bega)	Donita et al. 2005	1973-1997
22	27	South Mecklenburg (Germany)	Jeschke	1959
22	n.n.	Départements Nord,  Pas-de-Calais, Somme, Oise, Aisne, Eure, Yvelines, Deux-Sevres (France)	Julve 	2024
22	n.n.	Upper Rhine plain, Baar, Swabian Alb (Germany)	Oberdorfer 1992	n.n.
22	12	Brandenburg, Mecklenburg (Germany)	Passarge	1963
22		Danube floodplains above and below Vienna (Austria)	Schratt  in Grabherr et Mucina 1993	1988
22	3	Brandenburg (Germany)	Sukopp	1959
22		Lake Neusiedl (Austria)	Weisser in Grabherr et Mucina 1993	1970
23	10	Siechenweiher near Meersburg (Lake Constance district) (Germany)	Görs	1968
23	n.n.	Upper Rhine Plain, Baar, Swabian Alb (Germany)	Oberdorfer 1992	n.n.
23	3	Somogy, Lake Balata (Hungary)	Soó 1964	1964
24		Nebrodi (Monte Soro area) (Sicily, Italy)	Brullo et al., 1994 in Cambria 2019	1994
24		Madonie mountains (Sicily, Italy)	Brullo et al., 1994 in Cambria 2019	1994
24	87	scattered across the Czech Republic, with most localities in forested colline areas (Česko)	Chytry et al. 2011	1975/2011
24		Lower Spintik pond east of Keutschach (Carinthia, Austria)	Franz in Grabherr et Mucina 1993	1993
24		Höflein moor on the Sattnitz plateau (Carinthia, Austria)	Franz in Grabherr et Mucina 1993	1993
24	3	Upper Swabia, Swabian Alp (Germany)	Görs	1960
24	3	Upper Swabia, Swabian Alp (Germany)	Görs	1969
24	11	Upper Swabia, Swabian Alp (Germany)	Müller and  Görs	1969
24	n.n	Depressions, channels, peat pits, backwaters or small bodies of water in Departements Cher, l'Eure-et-Loir (France)	Pujol et al. 2023	n.n.
24	5	Upper Swabia, Swabian Alp (Germany)	Th. Müller	n.n.
25		Madonie mountains (Sicily, Italy)	Barbagallo et al., 1979 in Cambria 2019	1979
25		Ciane river near Syracuse (Sicily, Italy)	Barbagallo et al., 1979 in Cambria 2019	1979
25	184	common across the lowland and colline areas of the Czech Republic	Chytry et al. 2011	1975/2011
25		Surroundings of Graz (Austria)	Eggler  in Grabherr et Mucina 1993	1933
25	2	Upper Rhine Plain, Swabian-Franconian Forest (Germany)	Görs	n.n.
25		Lake Wörthersee (Austria)	Holzner  in Grabherr et Mucina 1993	1993
25	2	Upper Rhine Plain, Swabian-Franconian Forest (Germany)	Philippi	1969
25	n.n	Shallow stagnant waters ponds, canals and slow or temporary watercourses in  Departments Cher,  l'Eure-et-Loir, Indre, Indre-et-Loire, Loir-et-Cher, Loiret (France)    	Pujol et al. 2023	n.n.
25		Rumblar, Embalse del Rumblar, Baños de la Encina (Spain)	Quesada et al. 2011	2004
25	2	Rumblar, S/N. Finca Selladores-Contadero, Baños de la Encina (Spain)	Quesada et al. 2011	2004
25		Danube floodplains above and below Vienna (Austria)	Schratt  in Grabherr et Mucina 1993	1988
25		near the Dniester River and its tributaries (Republic Moldova)	Ungureanu et al.	2017
25		Lake Neusiedl (Austria)	Weisser   in Grabherr et Mucina 1993	1970
26	28	in lowland and warm colline areas of the Czech Republic	Chytry et al. 2011	1975/2011
26		Romania: Crișana, Banat, Oltenia, Muntenia, Dobrogea, Danube Delta	Donita et al. 2005	1973-2001
26	n.n.	Départements  Eure, Yveline, Essonne, Orne, Nievre, Allier, Maine-et-Loire, Gironde, Landes (France)	Julve 	2024
26	n.n.	Germany: Coast, river valleys	Pott 1995	n.n.
26	n.n.	Germany: Lowlands	Schubert, Hilbig, Klotz 1992	n.n.
27	68	scattered across the Czech Republic	Chytry et al. 2011	1975/2011
27		Romania: Crișana, Banat, Oltenia, Muntenia, Dobrogea, Danube Delta	Donita et al. 2005	1973-2001
27		Lake Constance (Austria)	Grabherr et Polatschek  in Grabherr et Mucina 1993	1986
27	4	Brandenburg (Germany)	Hueck	1931
27	4	Brandenburg (Germany)	Hueck	1942
27	8	Mecklenburg (Germany)	Jeschke	1959
27	n.n.	Départements Nord,  Pas-de-Calais, Somme, Oise, Aisne, Ardenne, Eure, Yvelines, Deux-Sevres, Seine-Maritime, Seine-et-Marne, Essonne, Calvados, Manche, Orne, Sarthe, Mayenne, Ille-et-Vilaine (France)	Julve 	2024
27	6	Brandenburg (Germany)	Panknin	1941
27	16	Brandenburg, Mecklenburg (Germany)	Passarge	1959
27	n.n	ponds, pools and calm river coves in Departments Cher,  l'Eure-et-Loir, Indre, Indre-et-Loire, Loir-et-Cher, Loiret (France)    	Pujol et al. 2023	n.n.
27	4	sporadic, mainly in the Lowlands and its edges, e.g. Kisalföld,  Balaton-region, Gödöllő-hills, also in Slavonia  (Hungary)	Soó 1964	1964
27		near the Dniester River and its tributaries (Republic Moldova)	Ungureanu et al.	2017
27		Lake Zellersee (Germany)	Wittmann et Strobl in Grabherr et Mucina 1993	1990
28		Fosso di Piano Jannu (Sicily, Italy)	Brullo et al., 1994 in Cambria 2019	1994
28	22	mainly in some sections of the Labe, Vltava and Ohře rivers in the Czech Republic	Chytry et al. 2011	1975/2011
28		Romania: Crișana, Banat, Oltenia, Muntenia, Dobrogea, Danube Delta	Donita et al. 2005	1973-2001
28		Lake Constance (Austria)	Grabherr et Polatschek  in Grabherr et Mucina 1993	1986
28		Lake Wörthersee (Austria)	Holzner  in Grabherr et Mucina 1993	1993
28	n.n.	Départements Nord,  Pas-de-Calais, Somme, Oise, Aisne, Ardenne, Eure, Yvelines, Deux-Sevres, Seine-Maritime, Seine-et-Marne, Essonne, Calvados, Manche, Orne, Sarthe, Mayenne, Ille-et-Vilaine (France)	Julve 	2024
28	8	Germany: Old moraine area of the lowlands, Brandenburg	Passarge 1964	1963
28		Danube floodplains soth-east of Vienna (Austria)	Schratt  in Grabherr et Mucina 1993	1988
29	8	naturally in eastern Bohemia, in Prague, in the Kokořínsko area (Czech Republic)	Chytry et al. 2011	1975/2011
29	n.n.	Départements  Haute-Savoie, Savoie, Isere, Haute-Alpes (France)	Julve 	2024
29	n.n.	Germany: Lower Saxony, Schl-Hol, Havelland, Allgäu	Pott 1995	n.n.
29	n.n.	Germany: Mecklenburg-Western Pomerania-Brandenburg	Schubert, Hilbig, Klotz 1992	n.n.
30		Moosbrunn - Spring of Piesting (Austria)	Adler in Grabherr et Mucina 1993	1993
30	31	Flowing water system of the Moosach (Munich Plain), Friedberger Au near Augsburg (Germany)	Brinkmeier	1973
30	n.n.	Départements Nord,  Pas-de-Calais, Somme, Aisne, Ardenne, Eure, Yvelines, Seine-Maritime, Essonne, Calvados, Manche, Jura (France)	Julve 	2024
30	3	Flowing water system of the Moosach (Munich Plain), Friedberger Au near Augsburg (Germany)	Kohler, Vollrath and  Beisl	1971
30	10	Meadow ditches in the Upper Rhine area between mainz and Ingelheim (Germany)	Korneck	1969
30	n.n	ponds, gullies, ditches and streams in Departments Cher,  l'Eure-et-Loir, Indre, Indre-et-Loire, Loiret (France)    	Pujol et al. 2023	n.n.
30	5	Ponds from the surroundings of Tirschenreuth (Upper Palatinate) (Germany)	Schrott	1964
31	1	Franconian Alp, Bavarian Alpine foothills (Germany)	Braun	n.n.
31	25	scattered in the mid-altitude areas of the Czech Republic	Chytry et al. 2011	1975/2011
31	2	Franconian Alp, Upper Palatinate (Germany)	Roßkopf	1971
31	1	Franconian Alp, Bavarian Alpine foothills (Germany)	Roßkopf	1971
31	3	Franconian Alp, Upper Palatinate (Germany)	Schrott	1964
31	1	Franconian Alp, Bavarian Alpine foothills (Germany)	Vollmar	1947
32	6	Swiss midland	Koch	1926
32	7	Lake Constance area (Germany)	Lang	1967
32	8	Lake Constance area (Germany)	Lang	1973
32	3	Lake Constance area (Germany)	Oberdorfer	1957
32	10	Mecklenburg-Western Pomerania, Brandenburg, (Germany)	Passarge 1964	1963
33	12	occurrences in southern Bohemia and the Bohemian-Moravian Highlands in the Czech Republic	Chytry et al. 2011	1975/2011
33		Romania: Crișana, Banat, Oltenia, Muntenia, Dobrogea, Danube Delta	Donita et al. 2005	1973-2001
33	11	Mecklenburg (Germany)	Jeschke	1959
33	n.n.	Départements Deux-Sevres, Vienne,  Nord, Yvelines, Essonne, Pas-de-Calais, Somme, Ardenne, Meuse, Moselle, Meurthe - et-Moselle, Vosges (France)	Julve 	2024
33	18	Meckl., Central and Southern Brandenburg (Havelland, Niederlausitz), West-Germ. (Germany)	Passarge 1964	n.n.
34	1	Franconian Alps, Bavarian Alpine Foreland (Germany)	Braun	n.n.
34		Lake Lunzer Obersee (Austria)	Englmaier in Grabherr et Mucina 1993	1985
34		Lake Schwarzkarlsee in Glockner region (Austria)	Gams  in Grabherr et Mucina 1993	1936
34		Ried ditches near Hard in the Rhine Valley (Austria)	Grabherr in Grabherr et Mucina 1993	1993
34		Lake Sünser See in the Bregenz forest (Austria)	Grabherr in Grabherr et Mucina 1993	1993
34		Lake Grünsee near Turrach (Austria)	Holzner  in Grabherr et Mucina 1993	1993
34		Lake Turrachsee (Austria)	Holzner  in Grabherr et Mucina 1993	1993
34	1	Franconian Alps, Bavarian Alpine Foothills (Germany)	Roßkopf	1971
34	2	Franconian Alp, Upper Palatinate (Germany)	Roßkopf	1971
34	3	Franconian Alp, Upper Palatinate (Germany)	Schrott	1964
34		Creek Ebbsbach in the Inn valley (Austria)	Smettan in Grabherr et Mucina 1993	1981
34	1	Franconian Alps, Bavarian Alpine Foothills (Germany)	Vollmar	1947
35	1	a pond in the Amálie pheasant-pond near Lužná in Rakovník in the Czech Republic	Chytry et al. 2011	1975/2011
35	n.n.	Mecklenburg-Western Pomerania (Germany)	Schubert, Hilbig, Klotz 1992	n.n.
36		arroyos Santa Rosa y del Fino (Spain)	Belmonte 2008	2008
36	26	scattered in lowlands and colline landscapes across the Czech Republic	Chytry et al. 2011	1975/2011
36	n.n.	Départements  Vienne, Nord,  Pas-de-Calais, Somme, Aisne (France)	Julve 	2024
36	n.n.	Germany: Magdeburg glacial valley	Oberdorfer 1992	n.n.
36	n.n.	Germany: North- Sea marshes, stream valleys collin-montane	Pott 1995	n.n.
36	n.n	 small bodies of water and ditches in Departments Cher,  l'Eure-et-Loir, Indre, Indre-et-Loire, Loir-et-Cher, Loiret (France)    	Pujol et al. 2023	n.n.
36		Rumblar, S/N. Entorno Mesa del Rey, Santa Elena (Spain)	Quesada et al. 2011	2004
36		Rumblar, S/N. Finca Selladores-Contadero, Banos de la Encina (Spain)	Quesada et al. 2011	2004
36	n.n.	Germany: Mecklenburg, Middle- Elbe, Thuringia (Germany)	Schubert, Hilbig, Klotz 1992	n.n.
37	15	lowland and colline landscapes in the Czech Republic	Chytry et al. 2011	1975/2011
37	n.n.	Germany: coastal and stream valleys	Pott 1995	n.n.
37	n.n.	Germany: Mecklenburg	Schubert, Hilbig, Klotz 1992	n.n.
38	27	from the lowlands to submontane areas in the Czech Republic	Chytry et al. 2011	1975/2011
38		Vlasinsko jezero lake (Serbia)	Cvijanovic et al. 2018	2018
38		Vlasinsko jezero lake (Serbia)	Cvijanovic et al. 2018	2018
38	n.n.	Départements  Pas-de-Calais, Somme, Ardenne, Vienne (France)	Julve 	2024
38	n.n	Stagnant, shallow, clear, unpolluted waters of ponds and puddles in Departments Cher,  l'Eure-et-Loir, Indre, Loir-et-Cher, Loiret (France)    	Pujol et al. 2023	n.n.
39		marshes of South-eastern Sicily (Sicily, Italy)	Bartolo et al., 1982 in Cambria 2019	1982
39		Lago Preola (Sicily, Italy)	Brullo & Ronsisvalle, 1975 in Cambria 2019	1975
39		Gorghi Tondi (Sicily, Italy)	Brullo & Ronsisvalle, 1975 in Cambria 2019	1975
39		Biviere di Gela (Sicily, Italy)	Brullo & Sciandrello, 2006 in Cambria 2019	2006
39	125	common in lowland and colline areas of the Czech Republic	Chytry et al. 2011	1975/2011
39		Lake Pressegger See (Austria)	Holzner  in Grabherr et Mucina 1993	1993
39		Lake Weißensee (Austria)	Holzner  in Grabherr et Mucina 1994	1993
39	6	Upper Rhine, Middle- Main area, Lake Constance (Germany)	Lang	1973
